pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_diff,education_equal,industry_diff,industry_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,overall_similarity
613,0,,,35.31288716601915,55.0,0.8102022930778913,32.0,0,11.0,0,0.0,0,1.0,0,1.0,0,0.0
754,0,,,2.449489742783178,4.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
376,1,1146.0,954.0,12.767145334803704,19.0,0.9018002950475685,9.0,0,0.0,1,0.0,0,1.0,0,0.0,1,0.4
563,0,,,29.58039891549808,47.0,0.9822042253584242,25.0,0,13.0,0,0.0,0,0.0,1,0.0,1,0.4
643,0,,,11.575836902790225,18.0,0.8701703830971981,5.0,0,10.0,0,0.0,0,0.0,1,0.0,1,0.4
699,0,,,13.341664064126334,22.0,0.9807604320014638,4.0,0,9.0,0,0.0,0,0.0,1,0.0,1,0.4
725,0,,,49224.00923329996,49263.0,0.13487955721146627,29.0,0,8.0,0,49224.0,0,2.0,0,0.0,1,0.2
165,1,498.0,332.0,13.038404810405298,18.0,0.9011710361853856,1.0,0,12.0,0,0.0,0,0.0,1,0.0,1,0.4
458,0,,,7.681145747868608,11.0,0.9290341646006869,3.0,0,7.0,0,0.0,0,0.0,1,0.0,1,0.4
55,1,127.0,99.0,11008.003679141828,11017.0,0.11990368545159091,0.0,1,9.0,0,11008.0,0,0.0,1,0.0,1,0.6
197,1,878.0,412.0,85487.00114637312,85501.0,0.18168684742594332,0.0,1,14.0,0,85487.0,0,0.0,1,0.0,1,0.6
240,1,790.0,508.0,47112.0,47112.0,0.019923409210866105,0.0,1,0.0,1,47112.0,0,0.0,1,0.0,1,0.8
424,0,,,40999.00059757555,41006.0,0.03702674459005417,0.0,1,7.0,0,40999.0,0,0.0,1,0.0,1,0.6
163,1,123.0,325.0,1411.0287027555464,1420.0,0.11375365790860925,0.0,1,9.0,0,1411.0,0,0.0,1,0.0,1,0.6
747,0,,,43.60045871318328,59.0,0.944113991748743,42.0,0,10.0,0,0.0,0,0.0,1,1.0,0,0.2
535,0,,,64899.00033898828,64909.0,0.21902042201191774,2.0,0,6.0,0,64899.0,0,2.0,0,0.0,1,0.2
110,1,1034.0,216.0,12.806248474865697,18.0,0.9354503262441148,12.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
610,0,,,10.099504938362077,16.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
305,1,623.0,698.0,23928.001023905028,23935.0,0.05236440507774409,0.0,1,7.0,0,23928.0,0,0.0,1,0.0,1,0.6
761,0,,,9.38083151964686,18.0,0.9469392720856871,5.0,0,5.0,0,0.0,0,1.0,0,1.0,0,0.0
382,1,301.0,984.0,47703.00041926084,47711.0,0.2218792889810337,6.0,0,2.0,0,47703.0,0,0.0,1,0.0,1,0.4
176,1,428.0,360.0,47103.0010615035,47113.0,0.16552648115084434,0.0,1,10.0,0,47103.0,0,0.0,1,0.0,1,0.6
151,1,831.0,299.0,40992.0,40992.0,0.2479347417950033,0.0,1,0.0,1,40992.0,0,0.0,1,0.0,1,0.8
663,0,,,85101.00252053438,85132.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,1,101.0,178.0,25928.001928417085,25938.0,0.10034465662672487,0.0,1,10.0,0,25928.0,0,0.0,1,0.0,1,0.6
528,0,,,84105.00473217988,84145.0,0.07487414748126531,25.0,0,13.0,0,84105.0,0,1.0,0,1.0,0,0.0
372,1,1244.0,943.0,46.04345773288535,48.0,0.9574419841536567,46.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.6
604,0,,,10704.000934230153,10710.0,0.11717871394919999,4.0,0,2.0,0,10704.0,0,0.0,1,0.0,1,0.4
390,0,,,29.120439557122072,34.0,0.9120319355630213,29.0,0,2.0,0,0.0,0,1.0,0,1.0,0,0.0
477,0,,,47112.000520037356,47119.0,0.019934578582142204,0.0,1,7.0,0,47112.0,0,0.0,1,0.0,1,0.6
677,0,,,9.486832980505138,16.0,0.9194514832089883,7.0,0,4.0,0,0.0,0,0.0,1,0.0,1,0.4
621,0,,,30.4138126514911,51.0,0.8497813941674051,26.0,0,12.0,0,0.0,0,1.0,0,2.0,0,0.0
20,1,140.0,35.0,9.643650760992955,15.0,0.941297475164401,8.0,0,2.0,0,0.0,0,0.0,1,0.0,1,0.4
478,0,,,45097.00694059418,45129.0,0.2261951174024004,24.0,0,7.0,0,45097.0,0,1.0,0,0.0,1,0.2
562,0,,,32.29551052391029,39.0,0.890620440284718,32.0,0,4.0,0,0.0,0,1.0,0,1.0,0,0.0
