aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
150,33,1,0.0,1.0,1,0.8888888888888888,0.1111111111111111,0,0.9998383595806586,0.0001616404193414,0,0.0,1.0,1,0.0,1.0,1,0.6222545503060906,0.9760417892756105
152,948,1,0.0217391304347826,0.9782608695652174,0,0.7,0.3,0,0.9998986990058032,0.0001013009941969,0,0.0,1.0,1,0.0,1.0,1,0.6556724341118829,0.9669911360341009
154,686,1,0.0,1.0,1,0.875,0.125,0,,,0,0.0,1.0,1,0.0,1.0,1,0.625,0.9664355582020256
156,192,1,0.6923076923076923,3.25,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6615384615384615,0.9549302593072104
158,11,1,0.0238095238095238,0.9761904761904762,0,0.8571428571428571,0.1428571428571428,0,0.9999593677623828,4.063223761732559e-05,0,0.0,1.0,1,0.0,1.0,1,0.6238176502570473,0.9589515431916346
163,218,1,0.0555555555555555,0.9444444444444444,0,0.2,0.8,0,0.9999559490771333,4.405092286683406e-05,0,0.5,0.5,0,0.0,1.0,1,0.6488976990734623,0.9133191171050115
165,762,1,0.2142857142857142,0.7857142857142857,0,0.375,0.625,0,0.9997690579664504,0.0002309420335495,0,0.0,1.0,1,0.0,1.0,1,0.682189045549567,0.8956012056556982
166,401,1,0.037037037037037,0.9629629629629628,0,0.8,0.2,0,0.9996538252311952,0.0003461747688047,0,0.0,1.0,1,0.0,1.0,1,0.6326618275463536,0.956291546068606
169,248,1,0.0,1.0,1,0.9,0.1,0,0.999955753191301,4.424680869892259e-05,0,0.0,1.0,1,0.0,1.0,1,0.6200088493617398,0.9702644226947652
181,722,1,0.0,1.0,1,0.6,0.4,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6799999999999999,0.9734628710054976
183,705,1,0.8571428571428571,7.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6285714285714286,0.8582234337518114
185,525,1,0.0769230769230769,1.0833333333333333,0,0.7,0.3,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6446153846153846,0.9306739558889667
188,862,1,0.8947368421052632,9.5,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6210526315789473,0.9192083601065405
191,211,1,0.064516129032258,1.0689655172413792,0,0.6666666666666666,0.3333333333333333,0,0.9999307191353748,6.928086462519052e-05,0,0.0,1.0,1,0.0,1.0,1,0.6537772970331401,0.9514627464959359
200,54,1,0.8923076923076924,9.285714285714286,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6215384615384616,0.9192083601065405
201,520,1,0.0,1.0,1,0.7272727272727273,0.2727272727272727,0,0.9994481845270942,0.0005518154729058,0,0.0,1.0,1,0.0,1.0,1,0.6546558176400357,0.9682451320535481
204,961,1,0.1282051282051282,0.8717948717948718,0,0.6,0.4,0,0.9920494699646644,0.0079505300353356,1,0.0,1.0,1,0.0,1.0,1,0.6559490803660415,0.8785643869009374
206,18,1,0.0806451612903225,1.087719298245614,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.6838709677419355,0.9694952397648997
209,297,1,0.0422535211267605,0.9577464788732394,0,0.8571428571428571,0.1428571428571428,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6201207243460765,0.9457191177719143
220,13,1,0.0,1.0,1,0.9,0.1,0,0.999939649969825,6.035003017501509e-05,0,0.0,1.0,1,0.0,1.0,1,0.620012070006035,0.9707381083700852
234,594,1,0.0227272727272727,0.9772727272727272,0,0.625,0.375,0,0.9993832110035156,0.0006167889964843,0,0.0,1.0,1,0.0,1.0,1,0.6705779032538424,0.9539640034428775
236,516,1,0.0350877192982456,0.9649122807017544,0,0.7142857142857143,0.2857142857142857,0,0.9998272324802936,0.0001727675197062,0,0.0,1.0,1,0.0,1.0,1,0.6501598667871493,0.9669959887767888
240,676,1,0.0,1.0,1,0.8461538461538461,0.1538461538461538,0,0.9998812633578722,0.0001187366421277,0,0.0,1.0,1,0.0,1.0,1,0.6307929780976563,0.972239773977737
