pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index,attack_score
297,297,297,1,0,43.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,297,297,0.5137155288841395
1884,1884,1884,0,0,1.0,0.0,0,8.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1884,1884,0.503026642019278
1833,1833,1833,0,0,24.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1833,1833,0.5004977055207469
651,651,651,1,0,34.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,651,651,0.5100584776683433
1233,1233,1233,0,0,1.0,0.0,0,11.0,0.0,0,84101.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1233,1233,0.5025970360633191
1502,1502,1502,0,0,28.0,0.0,0,11.0,0.0,0,64184.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1502,1502,0.5201156940646933
1931,1931,1931,0,0,5.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1931,1931,0.5041654976218846
916,916,916,1,0,50.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,916,916,0.5153040887514101
993,993,993,1,0,13.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,993,993,0.5124784267293467
429,429,429,1,0,27.0,0.0,0,8.0,0.0,0,53198.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,429,429,0.5158738749270947
1370,1370,1370,0,0,71.0,0.0,0,3.0,0.0,1,1.0,0.0,0,3.0,0.0,0,0.0,1.0,0.2,1370,1370,0.5277904872627198
239,239,239,1,0,19.0,0.0,0,6.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,239,239,0.5073246789874049
879,879,879,1,0,35.0,0.0,0,11.0,0.0,0,10789.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,879,879,0.5103174244929928
620,620,620,1,0,7.0,0.0,0,7.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,620,620,0.5034976401602753
256,256,256,1,0,7.0,0.0,0,8.0,0.0,0,40997.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,256,256,0.505113567771197
611,611,611,1,0,15.0,0.0,0,6.0,0.0,0,14100.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,611,611,0.5067303745563431
544,544,544,1,0,33.0,0.0,0,8.0,0.0,0,49214.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,544,544,0.5217085297447644
771,771,771,1,0,34.0,0.0,1,1.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,771,771,0.5012945903792717
1419,1419,1419,0,0,39.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1419,1419,0.4967624874204107
1041,1041,1041,0,0,1.0,0.0,0,7.0,0.0,0,96997.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1041,1041,0.5082810266124628
1789,1789,1789,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,1789,1789,0.5124376163745675
759,759,759,1,0,15.0,0.0,0,8.0,0.0,0,47105.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,759,759,0.5067728981652494
382,382,382,1,0,14.0,0.0,0,6.0,0.0,0,11039.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,382,382,0.5172902080289334
1103,1103,1103,0,0,5.0,0.0,0,7.0,0.0,0,40994.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1103,1103,0.5094565178669926
973,973,973,1,0,15.0,0.0,0,6.0,0.0,0,86201.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,973,973,0.5126482248124147
352,352,352,1,0,44.0,0.0,0,8.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,352,352,0.5127898095264922
1605,1605,1605,0,0,17.0,0.0,0,12.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1605,1605,0.5102980597201722
1825,1825,1825,0,0,1.0,0.0,0,5.0,0.0,0,62012.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1825,1825,0.5082084996308261
1036,1036,1036,0,0,40.0,0.0,0,5.0,0.0,0,99996.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1036,1036,0.5187595325379558
1107,1107,1107,0,0,21.0,0.0,0,9.0,0.0,0,10707.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1107,1107,0.5181698119373995
494,494,494,1,0,24.0,0.0,0,6.0,0.0,0,49213.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,494,494,0.5141242600588932
393,393,393,1,0,2.0,0.0,0,10.0,0.0,0,51099.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,393,393,0.503671380125019
1546,1546,1546,0,0,23.0,0.0,0,9.0,0.0,0,69198.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1546,1546,0.5135106844030316
464,464,464,1,0,33.0,0.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,464,464,0.5143857273658793
886,886,886,1,0,6.0,0.0,0,11.0,0.0,0,17087.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,886,886,0.503828810233093
1193,1193,1193,0,0,3.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1193,1193,0.5083091966048497
366,366,366,1,0,5.0,0.0,0,6.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,366,366,0.5089623511486701
1893,1893,1893,0,0,28.0,0.0,0,8.0,0.0,0,25105.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1893,1893,0.5096396246538444
1873,1873,1873,0,0,5.0,0.0,0,6.0,0.0,0,18113.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1873,1873,0.5056433474059023
744,744,744,1,0,8.0,0.0,0,10.0,0.0,0,64189.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,744,744,0.5097996940045467
529,529,529,1,0,0.0,1.0,0,8.0,0.0,0,47613.0,0.0,0,1.0,0.0,0,1.0,0.0,0.2,529,529,0.5350425491593983
802,802,802,1,0,10.0,0.0,0,7.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,802,802,0.50986619922189
1223,1223,1223,0,0,12.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1223,1223,0.506196252446894
1978,1978,1978,0,0,23.0,0.0,0,4.0,0.0,0,40993.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1978,1978,0.5157020948579116
1905,1905,1905,0,0,7.0,0.0,0,11.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1905,1905,0.5071399724965144
1699,1699,1699,0,0,17.0,0.0,0,6.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1699,1699,0.5068705116932302
1544,1544,1544,0,0,31.0,0.0,0,3.0,0.0,0,25924.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,1544,1544,0.5183867841931188
1313,1313,1313,0,0,14.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1313,1313,0.5055477354423734
306,306,306,1,0,42.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,306,306,0.5045790521617751
1666,1666,1666,0,0,25.0,0.0,0,7.0,0.0,0,97001.0,0.0,0,7.0,0.0,0,0.0,1.0,0.2,1666,1666,0.5215296323827902
862,862,862,1,0,47.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,862,862,0.520648331534247
1566,1566,1566,0,0,13.0,0.0,0,9.0,0.0,0,47109.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1566,1566,0.5052161834048097
530,530,530,1,0,0.0,1.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.4,530,530,0.5405725627813495
654,654,654,1,0,9.0,0.0,0,5.0,0.0,0,47105.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,654,654,0.5063523721654777
1259,1259,1259,0,0,37.0,0.0,0,10.0,0.0,0,85090.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1259,1259,0.516696377414787
233,233,233,1,0,21.0,0.0,0,9.0,0.0,0,14092.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,233,233,0.5122109499727525
120,120,120,1,0,11.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,120,120,0.5098620420256574
1697,1697,1697,0,0,12.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,1697,1697,0.5133536641086477
949,949,949,1,0,44.0,0.0,0,0.0,1.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.2,949,949,0.5194014376425783
617,617,617,1,0,1.0,0.0,0,12.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,617,617,0.5021031375992454
1178,1178,1178,0,0,1.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1178,1178,0.5036675162930165
307,307,307,1,0,4.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,307,307,0.5055023784379432
135,135,135,1,0,25.0,0.0,0,5.0,0.0,1,1.0,0.0,0,3.0,0.0,0,2.0,0.0,0.0,135,135,0.509790083754241
554,554,554,1,0,7.0,0.0,0,8.0,0.0,0,49214.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,554,554,0.5098053810877713
1673,1673,1673,0,0,25.0,0.0,0,11.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1673,1673,0.5066617397103109
