anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1311,0.5037189661687294,0.5037189661687294,1,low
1312,0.510094255607653,0.510094255607653,1,low
1313,0.5055477354423734,0.5055477354423734,1,low
1314,0.5028733215515021,0.5028733215515021,1,low
1315,0.5071102438432842,0.5071102438432842,1,low
1316,0.533704343196069,0.533704343196069,1,critical
1317,0.5132484465519075,0.5132484465519075,1,medium
1318,0.5100694758535274,0.5100694758535274,1,low
1319,0.5104966879607854,0.5104966879607854,1,low
1320,0.5119287031140749,0.5119287031140749,1,medium
1321,0.5131593476587217,0.5131593476587217,1,medium
1322,0.5089501449976753,0.5089501449976753,1,low
1323,0.5087754146148907,0.5087754146148907,1,low
1324,0.5059622164254588,0.5059622164254588,1,low
1325,0.5125482545852665,0.5125482545852665,1,medium
1326,0.5036198504132209,0.5036198504132209,1,low
1327,0.5081351657320321,0.5081351657320321,1,low
1328,0.5112231298686393,0.5112231298686393,1,medium
1329,0.5117864969294121,0.5117864969294121,1,medium
1330,0.5187167738544529,0.5187167738544529,1,high
1331,0.5172202354653227,0.5172202354653227,1,high
1332,0.5206488025495849,0.5206488025495849,1,high
1333,0.5021031375992454,0.5021031375992454,1,low
1334,0.5055956873221352,0.5055956873221352,1,low
1335,0.5062147519362185,0.5062147519362185,1,low
1336,0.5061310420007258,0.5061310420007258,1,low
1337,0.5114508051165199,0.5114508051165199,1,medium
1338,0.5059524196545553,0.5059524196545553,1,low
1339,0.5135892914954617,0.5135892914954617,1,medium
1340,0.5103739631448154,0.5103739631448154,1,low
1341,0.5104853375457832,0.5104853375457832,1,low
1342,0.5114515080575915,0.5114515080575915,1,medium
1343,0.5175640195864447,0.5175640195864447,1,high
1344,0.5124616340615066,0.5124616340615066,1,medium
1345,0.5113811171569403,0.5113811171569403,1,medium
1346,0.5049173745842357,0.5049173745842357,1,low
1347,0.5087575662059237,0.5087575662059237,1,low
1348,0.5242471584714513,0.5242471584714513,1,critical
1349,0.5072088674096521,0.5072088674096521,1,low
1350,0.5076828004335049,0.5076828004335049,1,low
1351,0.5153389627315154,0.5153389627315154,1,medium
1352,0.5157764689535207,0.5157764689535207,1,high
1353,0.5089085116049402,0.5089085116049402,1,low
1354,0.50915764256548,0.50915764256548,1,low
1355,0.5101164961478134,0.5101164961478134,1,low
1356,0.5365516459525885,0.5365516459525885,1,critical
1357,0.5035402734576949,0.5035402734576949,1,low
1358,0.5011007308856875,0.5011007308856875,1,low
1359,0.5037077017096746,0.5037077017096746,1,low
1360,0.5124376163745675,0.5124376163745675,1,medium
1361,0.5080068874520057,0.5080068874520057,1,low
1362,0.511368244106501,0.511368244106501,1,medium
1363,0.514868687239078,0.514868687239078,1,medium
1364,0.5033505847221814,0.5033505847221814,1,low
1365,0.5096795312928776,0.5096795312928776,1,low
1366,0.5128194048335023,0.5128194048335023,1,medium
1367,0.5093296551749432,0.5093296551749432,1,low
