pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity,attack_score
102,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5,0.10067924622311963
103,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
104,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5,0.10067924622311963
105,0,,,14.0,14.0,1.0,14.0,0,0,0,0,0.0,0.0005876645299520249
106,0,,,3.0,3.0,1.0,3.0,0,1,0,1,0.5,0.04176547650187853
107,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0.5,0.042310269273126644
108,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5,0.06642919721991025
109,0,,,6.0,6.0,1.0,6.0,0,0,1,1,0.5,0.06905848316824681
110,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5,0.06642919721991025
111,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
112,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
113,0,,,10.0,10.0,1.0,10.0,0,1,1,0,0.5,0.022076587165568803
114,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75,0.28389482100760954
115,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5,0.10067924622311963
116,0,,,5.0,5.0,1.0,5.0,0,0,1,1,0.5,0.06747777742172566
117,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
118,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
119,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
120,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5,0.05366086129289369
121,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
122,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
123,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0.5,0.042310269273126644
124,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
125,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
126,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
127,0,,,0.0,0.0,1.0,0.0,1,1,1,0,0.75,0.31329452768388283
128,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
129,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5,0.05366086129289369
130,0,,,20.0,20.0,1.0,20.0,0,0,1,1,0.5,0.1895139109778278
131,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75,0.28389482100760954
132,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5,0.05366086129289369
133,0,,,5.0,5.0,1.0,5.0,0,1,0,1,0.5,0.04318025667495798
134,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
135,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
136,0,,,44.0,44.0,1.0,44.0,0,1,1,1,0.75,0.6758748869053993
137,0,,,5.0,5.0,1.0,5.0,0,1,0,1,0.5,0.04318025667495798
138,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
139,0,,,2.0,2.0,1.0,2.0,0,0,1,1,0.5,0.06573416437285835
140,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
141,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
142,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75,0.28389482100760954
143,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5,0.06642919721991025
144,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
145,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5,0.06642919721991025
146,0,,,4.0,4.0,1.0,4.0,0,0,1,1,0.5,0.06642919721991025
147,0,,,5.0,5.0,1.0,5.0,0,1,0,1,0.5,0.04318025667495798
148,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
149,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
150,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
151,0,,,14.0,14.0,1.0,14.0,0,0,1,1,0.5,0.1091477362914236
152,0,,,3.0,3.0,1.0,3.0,0,1,0,1,0.5,0.04176547650187853
153,0,,,14.0,14.0,1.0,14.0,0,0,1,1,0.5,0.1091477362914236
154,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
155,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75,0.28389482100760954
156,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0.5,0.042310269273126644
157,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
158,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5,0.10067924622311963
159,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5,0.07404951760022978
160,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5,0.07122787355066555
161,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
162,0,,,5.0,5.0,1.0,5.0,0,0,1,1,0.5,0.06747777742172566
163,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
164,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
165,0,,,11.0,11.0,1.0,11.0,0,0,1,1,0.5,0.087174738572452
166,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5,0.06586269461799674
167,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5,0.09338836809560304
168,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
169,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5,0.08194084729740109
