pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
85,1,85.0,85.0,69202.00007225225,69206.0,-0.0822604956617294,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,69202.0,0.0,0.0,0.0,0.0,85.0,85.0,0.9329637083149005
86,1,86.0,86.0,47919.00006260565,47923.0,0.9999996265697616,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,47919.0,0.0,0.0,0.0,0.0,86.0,86.0,0.926264578769727
87,1,87.0,87.0,49234.00051793476,49243.0,-0.1540463445609723,7.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,49234.0,0.0,0.0,0.0,0.0,87.0,87.0,0.9284581859830635
88,1,88.0,88.0,10.099504938362076,12.0,0.9666913176095692,10.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.9376670093621348
89,1,89.0,89.0,2.23606797749979,3.0,0.9766244823564244,1.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.9398294624813816
90,1,90.0,90.0,2.0,2.0,0.9601486977992116,0.0,1.0,2.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.8425297943525026
91,1,91.0,91.0,11.090536506409418,13.0,-0.2390457218668786,11.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.9342531137289892
92,1,92.0,92.0,2.23606797749979,3.0,0.991741279639108,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,92.0,92.0,0.8643737472159932
93,1,93.0,93.0,5.0,5.0,0.9146591207600472,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,93.0,93.0,0.7749339180242675
94,1,94.0,94.0,6.164414002968976,8.0,0.8411910241920598,6.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.9508584461482738
