pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match
99,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
100,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
101,0,,,10.44030650891055,13.0,0.6532334559639025,10.0,0.0,3.0,0,0.0,1,0,0.25,0.0
102,0,,,1.0,1.0,0.9992584028469378,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
103,0,,,2.0,2.0,0.9986187838711753,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
104,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
105,0,,,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0,0.75,0.0
106,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
107,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
108,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
109,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
110,0,,,15.066519173319364,17.0,0.505398695719269,15.0,0.0,1.0,0,1.0,0,0,0.0,0.0
111,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
112,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
113,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
114,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
115,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
