pair_index,label,orig_id,anon_id,age_match,education_match,industry_match,marital_status_match,sex_match,overall_similarity,euclidean_distance,manhattan_distance,cosine_similarity,industry_diff,industry_equal,education_diff,education_equal
369,1,369.0,369.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,1,662.0,662.0,0,0.0,0.0,0,0,0.0,14101.0,14101.0,0.0,0.0,0.0,0.0,0.0
1033,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,1,579.0,579.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,1,683.0,683.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,0,,,0,0.0,0.0,0,0,0.0,14101.0,14101.0,0.0,0.0,0.0,0.0,0.0
1695,0,,,0,0.0,0.0,0,0,0.0,49222.0,49222.0,0.0,0.0,0.0,0.0,0.0
157,1,157.0,157.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
514,1,514.0,514.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
268,1,268.0,268.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
953,1,953.0,953.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
396,1,396.0,396.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
670,1,670.0,670.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1954,0,,,0,0.0,0.0,0,0,0.0,13.038404810405298,14.0,0.0,0.0,0.0,0.0,0.0
482,1,482.0,482.0,0,0.0,0.0,0,0,0.0,13.038404810405298,14.0,0.0,0.0,0.0,0.0,0.0
759,1,759.0,759.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,30.0,30.0,0,0.0,0.0,0,0,0.0,85101.0,85101.0,0.0,0.0,0.0,0.0,0.0
1093,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,1,368.0,368.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1481,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744,0,,,0,0.0,0.0,0,0,0.0,16291.0,16291.0,0.0,0.0,0.0,0.0,0.0
455,1,455.0,455.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1901,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
672,1,672.0,672.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
