aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
236,516,1,0.03508771929824561,0.9649122807017544,0,0.7142857142857143,0.2857142857142857,0,0.9998272324802937,0.00017276751970629522,0,0.0,1.0,1,0.0,1.0,1,0.6501598667871493
623,760,1,0.0,1.0,1,0.6666666666666666,0.3333333333333333,0,0.9999372660546622,6.27339453378223e-05,0,0.0,1.0,1,0.0,1.0,1,0.6666792134557342
894,282,1,0.20253164556962025,0.7974683544303798,0,0.375,0.625,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6844936708860759
150,33,1,0.0,1.0,1,0.8888888888888888,0.1111111111111111,0,0.9998383595806586,0.00016164041934143075,0,0.0,1.0,1,0.0,1.0,1,0.6222545503060906
669,732,0,0.5384615384615384,2.1666666666666665,0,0.9,0.1,0,,,0,1.0,0.0,0,0.5,0.5,0,0.2123076923076923
913,736,1,0.0,1.0,1,0.5,0.5,0,,,0,0.0,1.0,1,0.5,0.5,0,0.6
299,83,1,0.8970588235294118,9.714285714285714,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6205882352941177
797,637,1,0.0,1.0,1,0.6363636363636364,0.36363636363636365,0,0.9999187355247654,8.126447523465118e-05,0,0.0,1.0,1,0.0,1.0,1,0.6727435256223198
1084,733,0,0.6101694915254238,2.5652173913043477,0,0.6,0.4,0,0.9998988749841993,0.00010112501580078371,0,0.0,1.0,1,0.0,1.0,1,0.5579863266980754
778,702,0,0.3673469387755102,0.6326530612244898,0,0.5,0.5,0,,,0,1.0,0.0,0,0.0,1.0,1,0.42653061224489797
694,633,0,0.5681818181818182,2.3157894736842106,0,0.6666666666666666,0.3333333333333333,0,,,0,0.5,2.0,0,0.5,0.5,0,0.353030303030303
544,959,1,0.18518518518518517,0.8148148148148148,0,0.6153846153846154,0.38461538461538464,0,0.9993464662496498,0.0006535337503501073,0,0.0,1.0,1,0.0,1.0,1,0.6400167466361099
254,292,0,0.20253164556962025,0.7974683544303798,0,0.5,0.5,0,,,0,1.0,0.0,0,1.0,0.0,0,0.25949367088607594
718,434,1,0.0,1.0,1,0.8181818181818182,0.18181818181818182,0,0.9999274060361881,7.259396381190904e-05,0,0.0,1.0,1,0.0,1.0,1,0.6363781551563987
166,401,1,0.037037037037037035,0.9629629629629629,0,0.8,0.2,0,0.9996538252311953,0.000346174768804708,0,0.0,1.0,1,0.0,1.0,1,0.6326618275463536
234,594,1,0.022727272727272728,0.9772727272727273,0,0.625,0.375,0,0.9993832110035157,0.0006167889964843027,0,0.0,1.0,1,0.0,1.0,1,0.6705779032538424
524,154,1,0.0,1.0,1,0.5,0.5,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7
375,963,0,0.2692307692307692,1.368421052631579,0,0.6153846153846154,0.38461538461538464,0,0.9998933901918976,0.00010660980810234541,0,0.5,0.5,0,0.0,1.0,1,0.5230982450385435
956,366,0,0.03508771929824561,1.0363636363636364,0,0.6,0.4,0,,,0,0.5,0.5,0,1.0,0.0,0,0.37298245614035086
709,27,1,0.0,1.0,1,0.4444444444444444,0.5555555555555556,0,0.9999089885211773,9.101147882276652e-05,0,0.0,1.0,1,0.5,0.5,0,0.6111293134068757
745,669,0,0.5490196078431373,0.45098039215686275,0,0.5,0.5,0,0.9999750315227026,2.4968477297412018e-05,0,0.5,0.5,0,0.0,1.0,1,0.49020107212683206
322,907,0,0.10204081632653061,0.8979591836734694,0,0.5454545454545454,0.45454545454545453,0,,,0,0.5,0.5,0,1.0,0.0,0,0.37050092764378484
1045,278,1,0.0,1.0,1,0.9090909090909091,0.09090909090909091,0,0.9999762272673244,2.3772732675621063e-05,0,0.0,1.0,1,0.0,1.0,1,0.6181865727283533
140,51,0,0.4878048780487805,0.5121951219512195,0,0.5833333333333334,0.4166666666666667,0,0.9999405681683109,5.943183168905266e-05,0,0.5,0.5,0,0.0,1.0,1,0.48578424408991505
1269,403,1,0.015873015873015872,1.0161290322580645,0,0.9230769230769231,0.07692307692307693,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6122100122100121
304,902,1,0.05172413793103448,0.9482758620689655,0,0.5714285714285714,0.42857142857142855,0,0.999626552142657,0.0003734478573429185,0,0.0,1.0,1,0.0,1.0,1,0.6754441476995474
700,29,0,0.525,0.475,0,0.5,0.5,0,0.9999072222336762,9.277776632373255e-05,0,0.0,1.0,1,0.5,0.5,0,0.4950185555532648
166,557,0,0.4090909090909091,0.5909090909090909,0,0.8,0.2,0,,,0,0.0,1.0,1,0.5,0.5,0,0.4581818181818182
10,308,1,0.027777777777777776,0.9722222222222222,0,0.6,0.4,0,0.9997561094580752,0.00024389054192478415,0,0.0,1.0,1,0.0,1.0,1,0.6744932225528294
1119,58,1,0.0,1.0,1,0.9166666666666666,0.08333333333333333,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6166666666666667
1233,13,0,0.5918367346938775,2.45,0,0.5,0.5,0,0.999818949909475,0.00018105009052504526,0,0.0,1.0,1,0.0,1.0,1,0.5816688630793295
605,709,0,0.6363636363636364,0.36363636363636365,0,0.9,0.1,0,0.9997858580667266,0.0002141419332733736,0,0.0,1.0,1,0.0,1.0,1,0.49277010111392744
750,692,1,0.2682926829268293,1.3666666666666667,0,0.5833333333333334,0.4166666666666667,0,0.9999593760155996,4.062398440038999e-05,0,0.0,1.0,1,0.0,1.0,1,0.6296829215448476
97,793,0,0.8333333333333334,6.0,0,0.6666666666666666,0.3333333333333333,0,,,0,0.5,2.0,0,0.0,1.0,1,0.4
883,360,1,0.01639344262295082,1.0166666666666666,0,0.6363636363636364,0.36363636363636365,0,0.9998301954874451,0.00016980451255492116,0,0.0,1.0,1,0.0,1.0,1,0.6694825451051936
650,155,1,0.0,1.0,1,0.8,0.2,0,0.9999268346218569,7.31653781430627e-05,0,0.0,1.0,1,0.0,1.0,1,0.6400146330756286
1297,963,1,0.02564102564102564,1.0263157894736843,0,0.7692307692307693,0.23076923076923078,0,0.9999786780383795,2.1321961620469083e-05,0,0.0,1.0,1,0.0,1.0,1,0.6410299054179651
633,469,0,0.62,2.6315789473684212,0,0.75,0.25,0,,,0,1.0,0.0,0,1.0,0.0,0,0.126
811,245,1,0.03125,1.032258064516129,0,0.7333333333333333,0.26666666666666666,0,0.999873593730249,0.00012640626975097966,0,0.0,1.0,1,0.0,1.0,1,0.6471086145872835
998,525,0,0.3958333333333333,0.6041666666666666,0,0.6,0.4,0,,,0,1.0,0.0,0,1.0,0.0,0,0.20083333333333336
534,169,1,0.3,0.7,0,0.0,1.0,1,,,0,0.5,0.5,0,0.0,1.0,1,0.64
852,792,1,0.16216216216216217,0.8378378378378378,0,0.5454545454545454,0.45454545454545453,0,0.9999262001697397,7.37998302603904e-05,0,0.0,1.0,1,0.0,1.0,1,0.6584914184427105
960,763,0,0.425,1.7391304347826086,0,0.8,0.2,0,,,0,0.0,1.0,1,0.5,0.5,0,0.45499999999999996
536,670,0,0.2923076923076923,0.7076923076923077,0,0.6,0.4,0,,,0,0.5,0.5,0,0.5,0.5,0,0.42153846153846153
49,119,1,0.10204081632653061,1.1136363636363635,0,0.0,1.0,1,0.9998048828077364,0.00019511719226360334,0,0.0,1.0,1,0.0,1.0,1,0.7796308601731466
1048,274,1,0.05555555555555555,0.9444444444444444,0,0.9230769230769231,0.07692307692307693,0,0.9999178683312018,8.213166879817902e-05,0,0.0,1.0,1,0.0,1.0,1,0.604289930607264
203,288,0,,,0,,,0,,,0,,,0,,,0,0.0
123,325,1,0.0,1.0,1,0.9,0.1,0,0.9978783592644979,0.0021216407355021216,0,0.0,1.0,1,0.0,1.0,1,0.6204243281471005
467,799,1,0.0,1.0,1,0.8181818181818182,0.18181818181818182,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6363636363636364
23,603,1,0.07575757575757576,1.0819672131147542,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6348484848484849
124,649,0,0.1875,1.2307692307692308,0,0.6153846153846154,0.38461538461538464,0,0.9992473421770628,0.0007526578229372471,0,0.0,1.0,1,1.0,0.0,0,0.43957360848766436
653,699,0,0.16666666666666666,0.8333333333333334,0,0.8,0.2,0,0.9995403451589988,0.0004596548410012118,0,0.5,0.5,0,0.5,0.5,0,0.4067585976348669
1091,789,1,0.014925373134328358,0.9850746268656716,0,0.8461538461538461,0.15384615384615385,0,0.9999579204275284,4.207957247154369e-05,0,0.0,1.0,1,0.0,1.0,1,0.6277925720568595
