pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,distance_match,r2_school_education_match,type_of_school_match,overall_similarity,distance_diff,distance_equal,attack_score
98,0,,,10.0,10.0,0.970142500145332,0.0,1,0.0,1,1,0.75,10.0,0.0,0.012029913704022907
99,0,,,1.0,1.0,0.9486832980505138,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1391089182316149
100,0,,,13.0,13.0,0.922194381828531,0.0,1,0.0,1,1,0.75,13.0,0.0,0.004614941879315393
101,0,,,1.0,1.0,0.9486832980505138,0.0,1,0.0,1,1,0.75,1.0,0.0,0.1567273491488486
102,0,,,1.0,1.0,0.9647638212377322,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1455554965968519
103,0,,,1.0,1.0,0.9899494936611664,0.0,1,0.0,1,1,0.75,1.0,0.0,0.17526339440403368
104,0,,,1.0,1.0,0.9994801143396996,0.0,1,0.0,1,1,0.75,1.0,0.0,0.1797860327134607
105,0,,,5.0,5.0,0.9909924304103233,0.0,1,0.0,1,1,0.75,5.0,0.0,0.05395898990764398
106,0,,,2.0,2.0,0.8944271909999159,0.0,1,0.0,1,1,0.75,2.0,0.0,0.10012476282144593
107,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
108,0,,,17.0,17.0,0.8831157194574106,0.0,1,0.0,1,1,0.75,17.0,0.0,0.0014334397719982716
109,0,,,2.0,2.0,0.9785497849867488,0.0,1,0.0,1,1,0.75,2.0,0.0,0.1271695587864785
110,0,,,3.0,3.0,0.8574929257125441,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0665167579439207
111,0,,,19.0,19.0,0.5339929913879817,0.0,1,0.0,1,1,0.75,19.0,0.0,0.00032267470270199187
112,0,,,2.0,2.0,0.9761870601839528,0.0,1,0.0,1,1,0.75,2.0,0.0,0.1263289000098419
113,0,,,11.0,11.0,0.9841270174450972,0.0,1,0.0,1,1,0.75,11.0,0.0,0.009490413063012201
114,0,,,2.0,2.0,0.4472135954999578,0.0,1,0.0,1,1,0.75,2.0,0.0,0.026636936952561075
115,0,,,11.0,11.0,0.9260923597695476,0.0,1,0.0,1,1,0.75,11.0,0.0,0.008039763720678245
116,0,,,2.0,2.0,0.8944271909999159,0.0,1,0.0,1,1,0.75,2.0,0.0,0.10012476282144593
117,0,,,1.0,1.0,1.0,1.0,0,1.0,0,1,0.5,0.0,0.0,0.004710580251670385
118,0,,,3.0,3.0,0.9946917938265512,0.0,1,0.0,1,1,0.75,3.0,0.0,0.0989926183924873
119,0,,,1.0,1.0,0.9647638212377322,1.0,0,0.0,1,1,0.75,0.0,1.0,0.1455554965968519
