pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,attack_score
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9418804945020139
64,1,64.0,64.0,4.0,4.0,0.9961017296304552,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9315752165638734
65,1,65.0,65.0,1.7320508075688772,3.0,0.986581038661854,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686403736790371
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885895,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9685722602816492
67,1,67.0,67.0,3.3166247903554,5.0,0.9999999977299046,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.9142286274222142
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5056570747781576
69,1,69.0,69.0,41003.00010974806,41006.0,-0.0954602489118416,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,41003.0,0.0,0.0,0.0,0.0,0.9528139637443696
70,1,70.0,70.0,55104.000018147504,55106.0,-0.1089247947872467,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,55104.0,0.0,0.0,0.0,0.0,0.9685517418608315
71,1,71.0,71.0,41003.00002438846,41005.0,-0.0805257825951051,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,41003.0,0.0,0.0,0.0,0.0,0.9688425188353804
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9330064870110842
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9674397137634689
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9260374172378943
75,1,75.0,75.0,7508.003329780828,7516.0,0.999999993346269,7.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,7508.0,0.0,0.0,0.0,0.0,0.8938665484496205
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335644,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9668806986282176
77,1,77.0,77.0,5.0990195135927845,6.0,0.995403900013586,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9677718630834878
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9094790870073157
79,1,79.0,79.0,14102.000567295408,14106.0,-0.1213203390719528,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14102.0,0.0,0.0,0.0,0.0,0.9411700486748141
80,1,80.0,80.0,47592.00002101193,47594.0,-0.1311353691312682,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47592.0,0.0,0.0,0.0,0.0,0.9691004355855987
81,1,81.0,81.0,64192.00003894566,64195.0,-0.0814893875646336,2.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,64192.0,0.0,0.0,0.0,0.0,0.9678654548801543
82,1,82.0,82.0,17078.00032205176,17083.0,0.9999999995422288,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,17078.0,0.0,0.0,0.0,0.0,0.968590223985862
83,1,83.0,83.0,84131.00010697602,84137.0,-0.1070570555474819,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,84131.0,0.0,0.0,0.0,0.0,0.9681366983951198
84,1,84.0,84.0,36400.000013736266,36401.0,0.9999995194658244,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36400.0,0.0,0.0,0.0,0.0,0.7543260653741024
85,1,85.0,85.0,69202.00007225225,69206.0,-0.0822604956617294,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,69202.0,0.0,0.0,0.0,0.0,0.9689956556687477
86,1,86.0,86.0,47919.00006260565,47923.0,0.9999996265697616,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,47919.0,0.0,0.0,0.0,0.0,0.9681934795482627
