pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
1691,1691,1691,0,0,28.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1691,1691
1474,1474,1474,0,0,8.0,0.0,0,9.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1474,1474
1798,1798,1798,0,0,31.0,0.0,0,7.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1798,1798
478,478,478,1,0,35.0,0.0,0,6.0,0.0,0,55092.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,478,478
281,281,281,1,0,33.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,281,281
1647,1647,1647,0,0,19.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1647,1647
1556,1556,1556,0,0,30.0,0.0,0,6.0,0.0,0,14098.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1556,1556
1729,1729,1729,0,0,48.0,0.0,0,4.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1729,1729
210,210,210,1,0,25.0,0.0,0,7.0,0.0,0,47812.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,210,210
297,297,297,1,0,43.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,297,297
1884,1884,1884,0,0,1.0,0.0,0,8.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1884,1884
1833,1833,1833,0,0,24.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1833,1833
651,651,651,1,0,34.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,651,651
1233,1233,1233,0,0,1.0,0.0,0,11.0,0.0,0,84101.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1233,1233
1502,1502,1502,0,0,28.0,0.0,0,11.0,0.0,0,64184.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1502,1502
