pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal
81,1,81.0,81.0,64192.00003894566,64195.0,-0.08148938756463364,2.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,64192.0,0.0,0.0,0.0,0.0
82,1,82.0,82.0,17078.00032205176,17083.0,0.9999999995422288,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,17078.0,0.0,0.0,0.0,0.0
83,1,83.0,83.0,84131.00010697602,84137.0,-0.1070570555474819,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,84131.0,0.0,0.0,0.0,0.0
84,1,84.0,84.0,36400.000013736266,36401.0,0.9999995194658244,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36400.0,0.0,0.0,0.0,0.0
85,1,85.0,85.0,69202.00007225225,69206.0,-0.08226049566172944,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,69202.0,0.0,0.0,0.0,0.0
86,1,86.0,86.0,47919.00006260565,47923.0,0.9999996265697615,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,47919.0,0.0,0.0,0.0,0.0
87,1,87.0,87.0,49234.00051793476,49243.0,-0.15404634456097233,7.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,49234.0,0.0,0.0,0.0,0.0
88,1,88.0,88.0,10.099504938362077,12.0,0.9666913176095693,10.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,89.0,89.0,2.23606797749979,3.0,0.9766244823564243,1.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
90,1,90.0,90.0,2.0,2.0,0.9601486977992117,0.0,1.0,2.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
91,1,91.0,91.0,11.090536506409418,13.0,-0.23904572186687867,11.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,92.0,92.0,2.23606797749979,3.0,0.9917412796391081,2.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
93,1,93.0,93.0,5.0,5.0,0.9146591207600472,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
94,1,94.0,94.0,6.164414002968976,8.0,0.8411910241920598,6.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1,95.0,95.0,49407.00010120023,49411.0,0.9999999982760743,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,49407.0,0.0,0.0,0.0,0.0
96,1,96.0,96.0,5.0990195135927845,8.0,0.9722857292609522,4.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1,97.0,97.0,1.4142135623730951,2.0,0.9967657002470139,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
98,1,98.0,98.0,4.242640687119285,6.0,0.9673753912650251,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1,99.0,99.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
100,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
101,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
102,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
103,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
104,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
105,0,,,4291.001864366875,4295.0,0.9999999988793355,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,4291.0,0.0,0.0,0.0,0.0
106,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
107,0,,,14099.00031917157,14102.0,0.9999999906542314,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14099.0,0.0,0.0,0.0,0.0
108,0,,,10.04987562112089,11.0,0.9999999999293067,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0
109,0,,,12776.000352222913,12779.0,0.9999999986804579,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,12776.0,0.0,0.0,0.0,0.0
110,0,,,35879.00001393573,35880.0,0.9999999942017791,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,35879.0,0.0,0.0,0.0,0.0
111,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
112,0,,,2.0,2.0,0.9941348467724342,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
113,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
114,0,,,43128.0,43128.0,0.999999986400405,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,43128.0,0.0,0.0,0.0,0.0
115,0,,,7.280109889280518,9.0,0.22019275302527208,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
116,0,,,49233.00006093474,49237.0,-0.08749202227124941,1.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,49233.0,0.0,0.0,0.0,0.0
117,0,,,2.0,2.0,0.9986187838711753,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
118,0,,,1362.0091776489614,1367.0,0.9999999981426569,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,1362.0,0.0,0.0,0.0,0.0
119,0,,,1.0,1.0,0.9960238411119947,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
120,0,,,2.0,2.0,0.9995437747834997,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
121,0,,,2.0,2.0,0.9995437747834997,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
122,0,,,10010.00044955044,10013.0,0.9999999998123366,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,10010.0,0.0,0.0,0.0,0.0
123,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
124,0,,,10.04987562112089,11.0,0.5153471216826172,10.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
125,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
126,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
127,0,,,7981.000062648791,7982.0,0.9999999993767437,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,7981.0,0.0,0.0,0.0,0.0
128,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
129,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
130,0,,,1.0,1.0,0.9914601339836673,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
131,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
132,0,,,100.00999950005,102.0,0.9999999998607099,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0
133,0,,,1.0,1.0,0.9979654098963519,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
134,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
135,0,,,1.0,1.0,0.9979654098963519,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
136,0,,,14929.000535869774,14933.0,0.9999999962847147,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,14929.0,0.0,0.0,0.0,0.0
137,0,,,17888.0,17888.0,0.999999996848798,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,17888.0,0.0,0.0,0.0,0.0
138,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
139,0,,,2.0,2.0,0.9992990141526302,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
140,0,,,4010.0001246882775,4011.0,0.9999999908813216,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,4010.0,0.0,0.0,0.0,0.0
141,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,29995.0,0.0,0.0,0.0,0.0
142,0,,,9807.001835423505,9813.0,0.9999999978676115,6.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,9807.0,0.0,0.0,0.0,0.0
143,0,,,11799.001525552914,11805.0,0.9999999978661651,6.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,11799.0,0.0,0.0,0.0,0.0
144,0,,,2.0,2.0,0.9938079899999065,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
145,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
146,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
147,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
148,0,,,8220.000547445237,8223.0,0.9999999934723207,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,8220.0,0.0,0.0,0.0,0.0
149,0,,,2.0,2.0,0.9970909029271466,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
150,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,29995.0,0.0,0.0,0.0,0.0
151,0,,,1893.0169043090978,1901.0,0.9999999967826992,8.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,1893.0,0.0,0.0,0.0,0.0
152,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
153,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
154,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
155,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
156,0,,,3.0,3.0,0.9982425637157208,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
157,0,,,43988.0,43988.0,0.999999967230284,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,43988.0,0.0,0.0,0.0,0.0
158,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
159,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
160,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
161,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
162,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
163,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
