district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,Bin_1,1,11,7,1,1,1,2,2,2,Bin_1,11,10,Bin_4,1,1,1,Bin_1,9.0,Bin_3,,,,,,1.0,1.0,271.9852019,11
11,*,1,11,7,1,1,1,3,1,3,*,11,10,*,1,1,1,*,5.0,*,1.0,1.0,5414.0,*,3.0,,,271.9852019,11
11,Bin_1,1,11,7,1,1,1,4,1,3,Bin_5,11,10,Bin_2,1,1,1,Bin_1,9.0,Bin_4,3.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,8,1,1,1,1,1,1,Bin_1,11,7,Bin_5,1,1,1,Bin_1,9.0,Bin_1,5.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,8,1,1,1,2,1,2,Bin_5,11,9,Bin_5,1,1,1,Bin_1,9.0,Bin_5,9.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,8,1,1,1,3,1,3,Bin_1,11,8,Bin_4,1,1,1,Bin_3,9.0,Bin_2,9.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,8,1,1,1,4,1,3,Bin_5,11,4,Bin_2,1,1,1,Bin_5,9.0,Bin_3,7.0,2.0,,,,,,271.9852019,11
11,*,1,11,8,1,1,1,5,1,5,*,11,11,*,1,1,1,*,5.0,*,1.0,1.0,7233.0,*,3.0,,,271.9852019,11
11,Bin_1,1,11,8,1,1,1,6,1,5,Bin_5,11,10,Bin_1,1,1,1,Bin_1,2.0,Bin_3,,,,,,,,271.9852019,11
11,*,1,11,8,1,1,1,7,1,5,*,11,6,*,1,1,1,*,9.0,*,1.0,1.0,9122.0,*,3.0,,,271.9852019,11
11,Bin_1,1,11,9,1,1,1,1,1,1,Bin_1,11,2,Bin_4,1,1,1,Bin_1,9.0,Bin_3,5.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,9,1,1,1,2,1,2,Bin_5,11,2,Bin_3,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,10,1,1,1,1,1,1,Bin_1,11,1,Bin_3,1,1,4,Bin_1,9.0,Bin_3,99.0,2.0,,,,,,271.9852019,11
11,*,1,11,10,1,1,1,2,1,2,*,11,10,*,1,1,4,*,9.0,*,1.0,1.0,2411.0,*,2.0,,,271.9852019,11
11,Bin_1,1,11,10,1,1,1,3,1,3,Bin_5,11,10,Bin_1,1,1,4,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,271.9852019,11
11,Bin_1,1,11,10,1,1,1,4,1,3,Bin_5,11,9,Bin_1,1,1,4,Bin_1,2.0,Bin_2,,,,,,,,271.9852019,11
11,*,1,11,1,1,1,1,1,1,1,*,11,3,*,1,1,1,*,9.0,*,1.0,1.0,1213.0,*,3.0,,,361.6920328,11
11,*,1,11,1,1,1,1,2,1,2,*,11,7,*,1,1,1,*,9.0,*,1.0,1.0,4110.0,*,1.0,,,361.6920328,11
11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_1,11,11,Bin_1,1,1,1,Bin_1,,,,,,,,,,361.6920328,11
11,*,1,11,2,1,1,1,1,1,1,*,11,1,*,1,1,1,*,9.0,*,1.0,1.0,8122.0,*,3.0,,,361.6920328,11
11,Bin_1,1,11,5,1,1,1,1,1,1,Bin_5,11,11,Bin_3,1,1,1,Bin_1,9.0,Bin_2,7.0,2.0,,,,,,361.6920328,11
11,*,1,11,5,1,1,1,2,1,2,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,7116.0,*,3.0,,,361.6920328,11
11,Bin_1,1,11,5,1,1,1,3,1,3,Bin_5,11,6,Bin_1,1,1,1,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_5,11,6,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,361.6920328,11
11,Bin_1,1,11,5,1,1,1,5,1,3,Bin_5,11,1,Bin_1,1,1,1,Bin_1,1.0,,,,,,,,,361.6920328,11
11,Bin_1,1,11,6,1,1,1,1,1,1,Bin_1,11,3,Bin_3,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,1321.0,Bin_1,4.0,,,361.6920328,11
11,*,1,11,6,1,1,1,2,1,2,*,11,5,*,1,1,1,*,9.0,*,2.0,1.0,7319.0,*,6.0,,,361.6920328,11
11,Bin_1,1,11,6,1,1,1,3,1,3,Bin_1,11,12,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,6,1,1,1,4,1,3,Bin_5,11,8,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,361.6920328,11
11,*,1,11,7,1,1,1,1,1,1,*,11,12,*,1,1,1,*,9.0,*,1.0,1.0,8122.0,*,3.0,,,361.6920328,11
11,Bin_1,1,11,7,1,1,1,2,1,2,Bin_5,11,5,Bin_3,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,7,1,1,1,3,1,3,Bin_1,11,8,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,7,1,1,1,4,1,3,Bin_1,11,10,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,361.6920328,11
11,*,1,11,8,1,1,1,1,1,1,*,11,6,*,1,1,1,*,9.0,*,1.0,1.0,9321.0,*,3.0,,,361.6920328,11
11,*,1,11,8,1,1,1,2,1,3,*,11,6,*,1,1,1,*,9.0,*,1.0,1.0,8152.0,*,3.0,,,361.6920328,11
11,Bin_1,1,11,8,1,1,1,3,1,3,Bin_1,11,5,Bin_1,1,1,1,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,8,1,1,1,4,1,3,Bin_5,11,4,Bin_1,1,1,1,Bin_1,2.0,Bin_2,,,,,,,,361.6920328,11
11,Bin_1,1,11,8,1,1,1,5,1,5,Bin_5,11,1,Bin_4,1,1,1,Bin_3,9.0,Bin_3,7.0,2.0,,,,,,361.6920328,11
11,*,1,11,9,1,1,1,1,1,1,*,11,3,*,1,1,1,*,9.0,*,1.0,1.0,4311.0,*,3.0,,,361.6920328,11
11,Bin_1,1,11,9,1,1,1,2,1,2,Bin_5,11,1,Bin_4,1,1,1,Bin_1,9.0,Bin_4,7.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,9,1,1,1,3,1,3,Bin_5,11,3,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,10,1,1,1,1,1,1,Bin_1,11,11,Bin_5,1,1,1,Bin_1,9.0,Bin_2,5.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,10,1,1,1,2,1,2,Bin_5,11,7,Bin_4,1,1,1,Bin_1,9.0,Bin_2,7.0,2.0,,,,,,361.6920328,11
11,Bin_1,1,11,1,1,1,1,1,1,1,Bin_1,11,4,Bin_3,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,6121.0,Bin_1,5.0,,,436.4627395,11
11,*,1,11,1,1,1,1,2,1,2,*,11,3,*,1,1,1,*,9.0,*,1.0,1.0,6117.0,*,5.0,,,436.4627395,11
11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_5,11,4,Bin_2,1,1,1,Bin_1,3.0,Bin_4,8.0,2.0,,,,,,436.4627395,11
11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_5,11,2,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,436.4627395,11
11,Bin_1,1,11,1,1,1,1,5,1,3,Bin_5,11,2,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,436.4627395,11
11,*,1,11,2,1,1,1,1,1,1,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,9322.0,*,3.0,,,436.4627395,11
11,Bin_1,1,11,2,1,1,1,2,1,3,Bin_5,11,11,Bin_2,1,1,1,Bin_1,4.0,Bin_4,8.0,2.0,,,,,,436.4627395,11
11,Bin_1,1,11,2,1,1,1,3,1,3,Bin_1,11,7,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,436.4627395,11
11,Bin_1,1,11,2,1,1,1,4,2,2,Bin_1,11,4,Bin_3,1,1,1,Bin_1,9.0,Bin_3,,,,,,1.0,1.0,436.4627395,11
11,Bin_1,1,11,3,1,1,1,1,1,1,Bin_5,11,3,Bin_3,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,436.4627395,11
11,*,1,11,3,1,1,1,2,1,3,*,11,3,*,1,1,1,*,9.0,*,1.0,1.0,5412.0,*,1.0,,,436.4627395,11
11,*,1,11,3,1,1,1,3,1,3,*,11,4,*,1,1,1,*,9.0,*,1.0,1.0,3122.0,*,3.0,,,436.4627395,11
11,*,1,11,3,1,1,1,4,1,3,*,11,11,*,1,1,1,*,9.0,*,1.0,1.0,7322.0,*,3.0,,,436.4627395,11
11,Bin_1,1,11,3,1,1,1,5,2,2,Bin_1,11,3,Bin_4,1,1,1,Bin_1,9.0,Bin_3,,,,,,1.0,1.0,436.4627395,11
11,Bin_1,1,11,4,1,1,1,1,1,1,Bin_1,11,11,Bin_4,1,1,1,Bin_1,9.0,Bin_3,1.0,1.0,7116.0,Bin_3,3.0,,,436.4627395,11
11,*,1,11,4,1,1,1,2,1,2,*,11,9,*,1,1,1,*,9.0,*,1.0,1.0,5221.0,*,5.0,,,436.4627395,11
11,*,1,11,4,1,1,1,3,1,3,*,11,10,*,1,1,1,*,9.0,*,1.0,1.0,5211.0,*,6.0,,,436.4627395,11
