district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,1,1,111002,1,1,1,1,2,1,2,2,67,3,51,1,1,1,2,9.0,11.0,1.0,1.0,6117.0,1292.0,5.0,,,436.4627395,1967
11,1,1,111002,1,1,1,1,3,1,3,2,95,4,23,1,1,1,1,3.0,13.0,8.0,2.0,,,,,,436.4627395,1995
11,1,1,111002,1,1,1,1,4,1,3,2,0,2,18,1,1,1,1,2.0,11.0,8.0,2.0,,,,,,436.4627395,2000
11,1,1,111002,1,1,1,1,5,1,3,2,2,2,16,1,1,1,1,2.0,9.0,8.0,2.0,,,,,,436.4627395,2002
11,1,1,111002,2,1,1,1,1,1,1,2,73,5,45,1,1,1,2,9.0,7.0,1.0,1.0,9322.0,14105.0,3.0,,,436.4627395,1973
11,1,1,111002,2,1,1,1,2,1,3,2,99,11,19,1,1,1,1,4.0,13.0,8.0,2.0,,,,,,436.4627395,1999
11,1,1,111002,2,1,1,1,3,1,3,1,3,7,15,1,1,1,1,2.0,10.0,8.0,2.0,,,,,,436.4627395,2003
11,1,1,111002,2,1,1,1,4,2,2,1,75,4,43,1,1,1,2,9.0,10.0,,,,,,1.0,1.0,436.4627395,1975
11,1,1,111002,3,1,1,1,1,1,1,2,62,3,56,1,1,1,2,9.0,10.0,7.0,2.0,,,,,,436.4627395,1962
11,1,1,111002,3,1,1,1,2,1,3,2,82,3,36,1,1,1,1,9.0,13.0,1.0,1.0,5412.0,84230.0,1.0,,,436.4627395,1982
11,1,1,111002,3,1,1,1,3,1,3,1,92,4,26,1,1,1,1,9.0,13.0,1.0,1.0,3122.0,13992.0,3.0,,,436.4627395,1992
11,1,1,111002,3,1,1,1,4,1,3,1,96,11,22,1,1,1,1,9.0,11.0,1.0,1.0,7322.0,18115.0,3.0,,,436.4627395,1996
11,1,1,111002,3,1,1,1,5,2,2,1,60,3,58,1,1,1,2,9.0,8.0,,,,,,1.0,1.0,436.4627395,1960
11,1,1,111002,4,1,1,1,1,1,1,1,57,11,61,1,1,1,2,9.0,10.0,1.0,1.0,7116.0,41003.0,3.0,,,436.4627395,1957
11,1,1,111002,4,1,1,1,2,1,2,2,62,9,56,1,1,1,2,9.0,10.0,1.0,1.0,5221.0,47113.0,5.0,,,436.4627395,1962
11,1,1,111002,4,1,1,1,3,1,3,2,92,10,26,1,1,1,1,9.0,13.0,1.0,1.0,5211.0,47113.0,6.0,,,436.4627395,1992
11,1,1,111002,4,1,1,1,4,1,5,2,33,10,85,1,1,1,4,9.0,5.0,9.0,2.0,,,,,,436.4627395,1933
11,1,1,111002,6,1,1,1,1,1,1,1,76,9,42,1,1,1,2,9.0,10.0,1.0,1.0,8323.0,49222.0,5.0,,,436.4627395,1976
11,1,1,111002,6,1,1,1,2,1,2,2,82,11,36,1,1,1,2,9.0,10.0,7.0,2.0,,,,,,436.4627395,1982
11,1,1,111002,6,1,1,1,3,1,3,2,4,2,14,1,1,1,1,2.0,9.0,,,,,,,,436.4627395,2004
11,1,1,111002,7,1,1,1,1,1,1,1,89,12,29,1,1,1,2,9.0,15.0,1.0,1.0,3113.0,14101.0,3.0,,,436.4627395,1989
11,1,1,111002,7,1,1,1,2,1,2,2,92,7,26,1,1,1,2,9.0,13.0,7.0,2.0,,,,,,436.4627395,1992
11,1,1,111002,7,1,1,1,3,1,3,2,18,4,0,1,1,1,1,,,,,,,,,,436.4627395,2018
11,1,1,111002,9,1,1,1,1,1,1,1,46,2,72,1,1,1,2,9.0,7.0,9.0,2.0,,,,,,436.4627395,1946
11,1,1,111002,9,1,1,1,2,1,2,2,57,11,61,1,1,1,2,9.0,4.0,7.0,2.0,,,,,,436.4627395,1957
11,1,1,111002,9,1,1,1,3,1,3,1,88,3,30,1,1,1,1,9.0,10.0,1.0,1.0,7212.0,25113.0,5.0,,,436.4627395,1988
11,1,1,111002,9,1,1,1,4,1,3,1,89,7,29,1,1,1,1,9.0,13.0,1.0,1.0,8189.0,18111.0,3.0,,,436.4627395,1989
