district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1,1,PSU_RECODED_776,Grade 6,*,1,Walking,4,School too far away,_missing_,11,10,3,3,10, , , 
11,1,5,PSU_RECODED_OTHER,Grade 4,*,1,Walking,3,School too far away,_missing_,10,9,1,1,15, , , 
11,1,5,PSU_RECODED_OTHER,Grade 4,*,1,Walking,4,School too far away,_missing_,8,7,1,1,15, , , 
11,1-2,2,PSU_RECODED_OTHER,Grade 7,*,1,Walking,4,School too far away,_missing_,13,12,10,5,45, , , 
11,1-2,5,PSU_RECODED_81,Grade 2,*,1,Walking,5,School too far away,_missing_,6,5,8,4,20, , , 
11,1-2,5,PSU_RECODED_81,Grade 2,*,1,Walking,6,School too far away,_missing_,6,5,8,4,20, , , 
11,1-2,2,PSU_RECODED_OTHER,Grade 8,*,1,Walking,3,Financial problems,_missing_, , , , , ,5, , 
11,1-2,2,PSU_RECODED_OTHER,Grade 8,*,1,Walking,4,School too far away,_missing_,9,8,10,4,30, , , 
11,1-2,2,PSU_RECODED_OTHER,Grade 8,*,1,Walking,5,School too far away,_missing_,6,5,10,4,30, , , 
11,1-2,2,PSU_RECODED_OTHER,Grade 8,*,1,Walking,6,School too far away,_missing_,3,2,10,4,30, , , 
11,1,8,PSU_RECODED_872,Grade 2,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,6,2018
11,1,8,PSU_RECODED_872,Grade 2,*,1,Walking,4,School too far away,_missing_,9,8,2,5,20, , , 
11,1,8,PSU_RECODED_872,Grade 2,*,1,Walking,5,School too far away,_missing_,7,6,2,5,20, , , 
11,1,8,PSU_RECODED_872,Grade 8,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,9,2018
11,1,8,PSU_RECODED_872,Grade 8,*,1,Walking,5,House keeping / Family business,_missing_, , , , , , ,9,2017
11,1-2,5,PSU_RECODED_OTHER,Grade 8,*,1,Walking,3,School too far away,_missing_,6,5,4,5,20, , , 
11,1,2,PSU_RECODED_2,Grade 1,*,1,Walking,5,School too far away,_missing_,11,10,7,2,30, , , 
11,1,8,PSU_RECODED_390,Grade 10,*,1,Walking,4,School too far away,_missing_,11,10,5,6,45, , , 
11,1-2,5,PSU_RECODED_566,Grade 10,*,1,Walking,5,School too far away,_missing_,10,9,12,5,40, , , 
11,1-2,5,PSU_RECODED_566,Grade 10,*,1,Walking,6,School too far away,_missing_,7,6,4,5,20, , , 
11,1-2,5,PSU_RECODED_566,Grade 10,*,1,Walking,7,School too far away,_missing_,1,19,4,3,20, , , 
11,1-2,9,PSU_RECODED_106,Grade 4,*,1,Walking,4,School too far away,_missing_,13,12,20,6,60, , , 
11,1-2,9,PSU_RECODED_106,Grade 8,*,1,Walking,3,School too far away,_missing_,13,12,8,3,40, , , 
11,1-2,9,PSU_RECODED_106,Grade 8,*,1,Walking,4,School too far away,_missing_,7,6,8,6,40, , , 
11,1,9,PSU_RECODED_OTHER,Grade 1,*,1,Walking,4,School too far away,_missing_,11,10,14,6,35, , , 
11,1,9,PSU_RECODED_OTHER,Grade 5,*,1,Walking,3,School too far away,_missing_,12,11,12,6,90, , , 
11,1,9,PSU_RECODED_OTHER,Grade 5,*,1,Walking,4,School too far away,_missing_,7,6,3,2,10, , , 
11,1,5,PSU_RECODED_822,Grade 5,*,1,Walking,4,School too far away,_missing_,12,11,6,5,30, , , 
11,1,5,PSU_RECODED_822,Grade 5,*,1,Walking,5,School too far away,_missing_,6,5,6,5,30, , , 
11,1,9,PSU_RECODED_477,Grade 5,*,1,Walking,3,School too far away,_missing_,10,9,0,1,1, , , 
11,1,9,PSU_RECODED_477,Grade 10,*,1,Walking,4,School too far away,_missing_,11,10,7,4,20, , , 
11,1,9,PSU_RECODED_477,Grade 10,*,1,Walking,5,School too far away,_missing_,8,7,7,4,20, , , 
11,1,2,PSU_RECODED_OTHER,Grade 10,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,6,2010
11,1,2,PSU_RECODED_OTHER,Grade 10,*,1,Walking,4,School too far away,_missing_,11,10,2,1,10, , , 
11,1-2,9,PSU_RECODED_402,Grade 7,*,1,Walking,5,House keeping / Family business,_missing_, , , , , , ,9,2016
11,1-2,9,PSU_RECODED_402,Grade 7,*,1,Walking,6,School too far away,_missing_,7,6,4,5,15, , , 
11,1,5,PSU_RECODED_730,Grade 5,*,1,Walking,4,School too far away,_missing_,3,2,2,3,10, , , 
11,1,5,PSU_RECODED_730,Grade 10,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,9,2017
11,1,6,PSU_RECODED_556,Grade 2,*,1,Walking,3,School too far away,_missing_,11,10,2,6,20, , , 
11,1,6,PSU_RECODED_556,Grade 2,*,1,Walking,4,School too far away,_missing_,8,7,2,6,20, , , 
11,1,6,PSU_RECODED_556,Grade 8,*,1,Walking,5,House keeping / Family business,_missing_, , , , , , ,6,2019
11,1,9,PSU_RECODED_OTHER,Grade 1,*,1,Walking,3,School too far away,_missing_,2,1,12,5,35, , , 
11,1,6,PSU_RECODED_OTHER,Grade 6,*,1,Walking,3,Financial problems,_missing_, , , , , ,7, , 
