pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity,attack_score
88,0,,,98.066304100848,103.0,0.2308490609119428,2.0,0,98.0,0,3.0,0,1,0,1,1,1,0.5,0.01798886678911788
89,0,,,9.273618495495704,14.0,0.9941893842960952,6.0,0,7.0,0,1.0,0,0,0,1,1,1,0.375,0.12000326620457903
90,0,,,5.0990195135927845,8.0,0.9991783452539504,3.0,0,4.0,0,1.0,0,1,0,0,1,1,0.375,0.061530531541542983
91,0,,,10.63014581273465,15.0,0.9920203014953938,8.0,0,7.0,0,0.0,1,0,1,0,1,1,0.5,0.1043074042339439
92,0,,,7.3484692283495345,12.0,0.9962276338952196,5.0,0,5.0,0,2.0,0,0,1,1,0,1,0.375,0.12896470966999926
93,0,,,94.26027795418386,101.0,0.3017071549418645,7.0,0,94.0,0,0.0,1,0,0,1,0,0,0.25,0.0010588281261078704
94,0,,,95.3205119583398,106.0,0.343960660518422,5.0,0,95.0,0,6.0,0,1,1,1,1,1,0.625,0.0495854261409678
95,0,,,51.39066063011839,79.0,0.8400929036393389,36.0,0,36.0,0,7.0,0,1,1,1,1,1,0.625,0.05009822111793744
96,0,,,10.677078252031311,16.0,0.9920665169317966,7.0,0,8.0,0,1.0,0,0,1,1,1,0,0.375,0.14053189416484907
97,0,,,26.851443164195103,43.0,0.9574355776451664,18.0,0,19.0,0,6.0,0,0,1,1,1,1,0.5,0.12156045729440194
98,0,,,10.677078252031311,16.0,0.9943644089105016,7.0,0,8.0,0,1.0,0,0,0,1,1,1,0.375,0.1103893496817518
99,0,,,98.066304100848,103.0,0.2308490609119428,2.0,0,98.0,0,3.0,0,1,0,1,1,1,0.5,0.01798886678911788
100,0,,,76.89603370785778,99.0,0.6360659722080415,27.0,0,72.0,0,0.0,1,1,0,1,1,1,0.625,0.017690282064267936
101,0,,,2.449489742783178,4.0,0.9919976730359152,1.0,0,1.0,0,2.0,0,0,1,1,1,1,0.5,0.4093412671791186
102,0,,,91.11531155629112,110.0,0.4650980943945244,11.0,0,90.0,0,9.0,0,0,0,0,0,0,0.0,7.166809368268287e-05
103,0,,,2.23606797749979,3.0,0.9942338501412048,1.0,0,0.0,1,2.0,0,0,1,1,1,0,0.5,0.24799817673800664
104,0,,,13.45362404707371,19.0,0.9879592565152756,10.0,0,9.0,0,0.0,1,0,1,1,0,1,0.5,0.17661048870787077
105,0,,,15.556349186104043,22.0,0.9831493711075876,11.0,0,11.0,0,0.0,1,0,1,1,1,0,0.5,0.18323398011162498
